city,year,month,tavg,tmin,tmax,prcp,wspd,pres,n_days,n_rows,data_coverage,EHF_max,EHF_mean,ehf_thr,risk_now,risk_next,owid_surface_temp,wb_pop_density,wb_urban_pct,date,tavg_lag1,tavg_lag2,tmax_lag1,tmax_lag2,prcp_lag1,prcp_lag2,wspd_lag1,wspd_lag2,EHF_max_lag1,EHF_max_lag2,owid_surface_temp_lag1,owid_surface_temp_lag2,month_sin,month_cos,y
Lahore,2006,9,27.290000000000003,23.00689655172414,32.86666666666667,67.3,6.573333333333333,,30,30,1.0,-5.733333333333324,-7.955555555555547,-2.66666666666665,0,0,25.630112,233.087756849315,34.184,2006-09-01,29.364516129032257,30.5258064516129,33.809999999999995,34.809999999999995,95.3,99.0,8.312903225806451,10.903225806451612,-4.233333333333324,-0.9622222222221928,27.24984,29.675714,-1.0,-1.8369701987210297e-16,0
Lahore,2006,10,24.219354838709677,19.54642857142857,31.473333333333336,6.1,5.174193548387097,,31,31,1.0,-7.633333333333322,-10.813978494623644,-2.66666666666665,0,0,22.72961,233.087756849315,34.184,2006-10-01,27.290000000000003,29.364516129032257,32.86666666666667,33.809999999999995,67.3,95.3,6.573333333333333,8.312903225806451,-5.733333333333324,-4.233333333333324,25.630112,27.24984,-0.8660254037844386,0.5000000000000001,0
Lahore,2006,11,18.06,14.003333333333334,25.57,5.1,5.776666666666667,,30,30,1.0,-12.799999999999986,-16.83333333333332,-2.66666666666665,0,0,15.700646,233.087756849315,34.184,2006-11-01,24.219354838709677,27.290000000000003,31.473333333333336,32.86666666666667,6.1,67.3,5.174193548387097,6.573333333333333,-7.633333333333322,-5.733333333333324,22.72961,25.630112,-0.5000000000000004,0.8660254037844384,0
Lahore,2006,12,12.103225806451613,8.263333333333334,20.09333333333333,30.9,5.648387096774194,,31,31,1.0,-20.866666666666653,-22.929032258064503,-2.66666666666665,0,0,9.604608,233.087756849315,34.184,2006-12-01,18.06,24.219354838709677,25.57,31.473333333333336,5.1,6.1,5.776666666666667,5.174193548387097,-12.799999999999986,-7.633333333333322,15.700646,22.72961,-2.4492935982947064e-16,1.0,0
Lahore,2007,1,10.516129032258064,4.031034482758621,20.29655172413793,0.0,5.029032258064516,,31,31,1.0,-24.466666666666654,-38.20601075268824,-2.66666666666665,0,0,8.7320595,239.328080894562,34.387,2007-01-01,12.103225806451613,18.06,20.09333333333333,25.57,30.9,5.1,5.648387096774194,5.776666666666667,-20.866666666666653,-12.799999999999986,9.604608,15.700646,0.49999999999999994,0.8660254037844387,0
Lahore,2007,2,14.592592592592593,9.420833333333333,21.123076923076926,71.89999999999999,6.972,,27,28,0.9642857142857143,-19.76666666666666,-42.78850205761327,-2.66666666666665,0,0,12.566285,239.328080894562,34.387,2007-02-01,10.516129032258064,12.103225806451613,20.29655172413793,20.09333333333333,0.0,30.9,5.029032258064516,5.648387096774194,-24.466666666666654,-20.866666666666653,8.7320595,9.604608,0.8660254037844386,0.5000000000000001,0
Lahore,2007,3,19.374193548387098,14.183333333333334,26.625806451612902,64.6,9.427586206896551,,31,31,1.0,-60.090000000000046,-60.478333333333396,-2.66666666666665,0,0,16.112473,239.328080894562,34.387,2007-03-01,14.592592592592593,10.516129032258064,21.123076923076926,20.29655172413793,71.89999999999999,0.0,6.972,5.029032258064516,-19.76666666666666,-24.466666666666654,12.566285,8.7320595,1.0,6.123233995736766e-17,0
Lahore,2007,4,28.533333333333335,20.40909090909091,36.582608695652176,0.0,7.972413793103448,,30,30,1.0,-10.789999999999994,-27.97417777777782,-2.66666666666665,0,0,24.5403,239.328080894562,34.387,2007-04-01,19.374193548387098,14.592592592592593,26.625806451612902,21.123076923076926,64.6,71.89999999999999,9.427586206896551,6.972,-60.090000000000046,-19.76666666666666,16.112473,12.566285,0.8660254037844387,-0.49999999999999983,0
Lahore,2007,5,31.4,24.48,39.096774193548384,128.8,10.280645161290321,,31,31,1.0,-2.845222222222198,-4.92087455197132,-2.66666666666665,0,1,27.466978,239.328080894562,34.387,2007-05-01,28.533333333333335,19.374193548387098,36.582608695652176,26.625806451612902,0.0,64.6,7.972413793103448,9.427586206896551,-10.789999999999994,-60.090000000000046,24.5403,16.112473,0.49999999999999994,-0.8660254037844387,1
Lahore,2007,6,32.47,26.775862068965516,38.54,153.7,11.103333333333332,,30,30,1.0,20.652000000000157,-1.057014814814776,-2.66666666666665,1,0,28.943945,239.328080894562,34.387,2007-06-01,31.4,28.533333333333335,39.096774193548384,36.582608695652176,128.8,0.0,10.280645161290321,7.972413793103448,-2.845222222222198,-10.789999999999994,27.466978,24.5403,1.2246467991473532e-16,-1.0,0
