time,city,ndvi
2003-04-01,Lahore,0.25720000000000004
2003-05-01,Lahore,0.23600000000000002
2003-06-01,Lahore,0.23370000000000002
2003-07-01,Lahore,0.2558
2003-08-01,Lahore,0.2615
2003-09-01,Lahore,0.2944
2003-10-01,Lahore,0.2296
2003-11-01,Lahore,0.2222
2003-12-01,Lahore,0.22310000000000002
2004-01-01,Lahore,0.166
2004-02-01,Lahore,0.22360000000000002
2004-03-01,Lahore,0.2018
2004-04-01,Lahore,0.2011
2004-05-01,Lahore,0.21580000000000002
2004-06-01,Lahore,0.20850000000000002
2004-07-01,Lahore,0.2326
2004-08-01,Lahore,0.277
2004-09-01,Lahore,0.2797
2004-10-01,Lahore,0.2691
2004-11-01,Lahore,0.20570000000000002
2004-12-01,Lahore,0.192
2005-01-01,Lahore,0.20400000000000001
2005-02-01,Lahore,0.234
2005-03-01,Lahore,0.2497
2005-04-01,Lahore,0.2511
2005-05-01,Lahore,0.2233
2005-06-01,Lahore,0.39880000000000004
2005-07-01,Lahore,0.30770000000000003
2005-08-01,Lahore,0.3073
2005-09-01,Lahore,0.3337
2005-10-01,Lahore,0.276
2005-11-01,Lahore,0.21680000000000002
2005-12-01,Lahore,0.1869
2006-01-01,Lahore,0.1705
2006-02-01,Lahore,0.1812
2006-03-01,Lahore,0.232
2006-04-01,Lahore,0.2273
2006-05-01,Lahore,0.2272
2006-06-01,Lahore,0.24550000000000002
2006-07-01,Lahore,0.37360000000000004
2006-08-01,Lahore,0.37360000000000004
2006-09-01,Lahore,0.2908
2006-10-01,Lahore,0.3423
2006-11-01,Lahore,0.2717
2006-12-01,Lahore,0.2401
2007-01-01,Lahore,0.1903
2007-02-01,Lahore,0.2214
2007-03-01,Lahore,0.2841
2007-04-01,Lahore,0.248
2007-05-01,Lahore,0.2581
2007-06-01,Lahore,0.3819
2007-07-01,Lahore,0.3584
2007-08-01,Lahore,0.2927
2007-09-01,Lahore,0.28900000000000003
2007-10-01,Lahore,0.266
2007-11-01,Lahore,0.22870000000000001
2007-12-01,Lahore,0.20120000000000002
2008-01-01,Lahore,0.2182
2008-02-01,Lahore,0.191
2008-03-01,Lahore,0.21230000000000002
2008-04-01,Lahore,0.2535
2008-05-01,Lahore,0.24300000000000002
2008-06-01,Lahore,0.219
2008-07-01,Lahore,0.3038
2008-08-01,Lahore,0.3446
2008-09-01,Lahore,0.37
2008-10-01,Lahore,0.2574
2008-11-01,Lahore,0.21980000000000002
2008-12-01,Lahore,0.2136
2009-01-01,Lahore,0.2311
2009-02-01,Lahore,0.2548
2009-03-01,Lahore,0.27140000000000003
2009-04-01,Lahore,0.2751
2009-05-01,Lahore,0.2621
2009-06-01,Lahore,0.2421
2009-07-01,Lahore,0.22590000000000002
2009-08-01,Lahore,0.37110000000000004
2009-09-01,Lahore,0.3516
2009-10-01,Lahore,0.2348
2009-11-01,Lahore,0.1786
2009-12-01,Lahore,0.2049
2010-01-01,Lahore,0.1753
2010-02-01,Lahore,0.1894
2010-03-01,Lahore,0.2305
2010-04-01,Lahore,0.21780000000000002
2010-05-01,Lahore,0.2093
2010-06-01,Lahore,0.24180000000000001
2010-07-01,Lahore,0.3386
2010-08-01,Lahore,0.34640000000000004
2010-09-01,Lahore,0.372
2010-10-01,Lahore,0.2857
2010-11-01,Lahore,0.24930000000000002
2010-12-01,Lahore,0.1895
2011-01-01,Lahore,0.1938
2011-02-01,Lahore,0.2356
2011-03-01,Lahore,0.22440000000000002
2011-04-01,Lahore,0.2851
2011-05-01,Lahore,0.2733
2011-06-01,Lahore,0.2495
2011-07-01,Lahore,0.3849
2011-08-01,Lahore,0.523
2011-09-01,Lahore,0.523
2011-10-01,Lahore,0.2844
2011-11-01,Lahore,0.31320000000000003
2011-12-01,Lahore,0.2025
2012-01-01,Lahore,0.2089
2012-02-01,Lahore,0.2111
2012-03-01,Lahore,0.2066
2012-04-01,Lahore,0.2771
2012-05-01,Lahore,0.277
2012-06-01,Lahore,0.2614
2012-07-01,Lahore,0.21000000000000002
2012-08-01,Lahore,0.3849
2012-09-01,Lahore,0.3876
2012-10-01,Lahore,0.3548
2012-11-01,Lahore,0.2954
2012-12-01,Lahore,0.2412
2013-01-01,Lahore,0.2645
2013-02-01,Lahore,0.2359
2013-03-01,Lahore,0.2378
2013-04-01,Lahore,0.2761
2013-05-01,Lahore,0.27340000000000003
2013-06-01,Lahore,0.2561
2013-07-01,Lahore,0.36970000000000003
2013-08-01,Lahore,0.37
2013-09-01,Lahore,0.3493
2013-10-01,Lahore,0.3719
2013-11-01,Lahore,0.3064
2013-12-01,Lahore,0.22760000000000002
2014-01-01,Lahore,0.2139
2014-02-01,Lahore,0.23870000000000002
2014-03-01,Lahore,0.2617
2014-04-01,Lahore,0.2795
2014-05-01,Lahore,0.29760000000000003
2014-06-01,Lahore,0.2477
2014-07-01,Lahore,0.2933
2014-08-01,Lahore,0.34090000000000004
2014-09-01,Lahore,0.3305
2014-10-01,Lahore,0.2898
2014-11-01,Lahore,0.2823
2014-12-01,Lahore,0.23120000000000002
2015-01-01,Lahore,0.24380000000000002
2015-02-01,Lahore,0.2434
2015-03-01,Lahore,0.2987
2015-04-01,Lahore,0.3049
2015-05-01,Lahore,0.2888
2015-06-01,Lahore,0.2848
2015-07-01,Lahore,0.3482
2015-08-01,Lahore,0.3856
2015-09-01,Lahore,0.3415
2015-10-01,Lahore,0.3196
2015-11-01,Lahore,0.2087
2015-12-01,Lahore,0.2579
2016-01-01,Lahore,0.23770000000000002
2016-02-01,Lahore,0.1885
2016-03-01,Lahore,0.252
2016-04-01,Lahore,0.2701
2016-05-01,Lahore,0.23720000000000002
2016-06-01,Lahore,0.4434
2016-07-01,Lahore,0.4434
2016-08-01,Lahore,0.5098
2016-09-01,Lahore,0.3467
2016-10-01,Lahore,0.3316
2016-11-01,Lahore,0.2373
2016-12-01,Lahore,0.22110000000000002
